Rank,Account Handle
321,anne_janssen_26
322,gruenefraktionlsa
323,christin.marie.stamm
324,rischwasu
325,konradkoerner
326,thomaserndl
327,huelyadueber.mdb
328,jenslehmann.leipzig
329,tanja.gruen.bunt
330,romansimonmda
331,crueffer_mdb
332,duelmenerzeitung
333,petra_federau
334,danielkarrais
335,wiebkeesdar
336,ulrike_bartholomaeus
337,oedp.de
338,helmut_schnotz
339,kimsarah.speer
340,joachimebmeyer
341,striegse
342,jakob.blankenburg
343,gj_hamburg
344,frankfurterrundschau
345,pnp.de
346,cdunrw
347,catarinadossantos_mdb
348,davidgregosz
349,wolfgang_dahler
350,nuertingerzeitung
351,gesundheit.pflege.bayern
352,lutz.brinkmann.mdb
353,cdu.fraktion.berlin
354,walsroder_zeitung
355,johannes.schraps
356,tobiasteich_by
357,bigpartei
358,spdhessen
359,bva.bund
360,barbarafuchs_mdl
361,alexander.hoffmannmdb
362,borkenerzeitung
363,benjaminhoff
364,mittelbadischepresse
365,insuedthueringen
366,georg.eisenreich
367,gruenebremen
368,boris.mijatovic
369,elisabeth.winkelmeierbecker
370,larsschieske
371,drbirghan
372,jenny_gross.westerwald
373,fnp.de
374,spd_sachsenanhalt
375,backnanger_kreiszeitung
376,fwhfreising
377,landtagrheinlandpfalz
378,marion_walsmann
379,nachrichtenleicht
380,inge.graessle
381,neuepresse_coburg
382,annakoebberling
383,cpsassenrath
384,baldy.daniel
385,andreas.mayer.afd
386,fairtradede
387,ottilie.klein
388,marjavoellers
389,wlz_online
390,stefan_zierke
391,cdu_slt
392,deutscherwetterdienst
393,spdsaxlt
394,jensbehrenslp
395,taff
396,thueringerlandtag
397,harald_ebner_mdb
398,carstentraeger
399,matthias_steinfurth
400,ikzonline
401,poschmannsabine
402,ralph_edelhaeusser
403,kerstinvieregge
404,olaf.lehne
405,stephanmayercsu
406,henri.schmidt.cdu
407,cdu_mv
408,joerggeerlings
409,karina_waechter
410,fraenkische_landeszeitung
411,goodnews4.de
412,georgkippels
413,guenter_baumgartner
414,parsa.marvi
415,claudia.schlottmann.mdl
416,filiz.polat.mdb
417,jusos_th
418,martin.schoeffel
419,stefan_moeller_afd
420,mittelbayerische
421,gerrithuy.afd
422,herzebrockclarholz
423,awettesfaiesus
424,dr.alaa.alhamwi
425,vonmarenholtz
426,bettina_lugk
427,bernd_schattner_afd
428,mechthilde.wittmann
429,david_preisendanz
430,taylan_kurt
431,prottwilm
432,joern.koenig
433,thomas.hentschel_mdl
434,bjoernsimon.mdb
435,stephan.protschka.mdb
436,lebenbauenbewegen
437,thomasbareiss
438,manfred.schiller.afd
439,alske.freter
440,mark.helfrich.cdu
441,ninaeisenhardt
442,presse_augsburg
443,bjoernfranken
444,mensch_tina
445,vivian_tauschwitz
446,derwesten
447,heidenheimer_zeitung
448,angelikaglockner
449,wechsler_andrea
450,hansjuergen_gossner
451,bernhard_pohl_mdl
452,katrinuhlig.bn
453,dennisgladiator
454,kultusministerium_saarland
455,afdfraktionagh
456,michael.kiessling.mdb
457,angelika.niebler
458,steffenkotre
459,anja.arndt.afd
460,sven.koch_suew
461,shz_das_medienhaus
462,sommer.sebastian
463,martingerster.spd
464,cl.wein
465,yannickbury
466,pierre_lamely_afd
467,klauswienercdu
468,martin_dulig
469,th.holz
470,cornellbabendererde
471,gj_bayern
472,katja.mast.politik
473,maerkische_allgemeine
474,tobiaswinklermdb
475,mandy__pfeifer__
476,svenja.schulze.nrw
477,donaukurier
478,sms_sachsen
479,nils.schmid.spd
480,_rolandtheis
481,innenministeriummv
482,jouleengruhn
483,mela.bernstein
484,tina_winklmann
485,tanjamachalet
486,tobiaspeterkamdb
487,afdlandtagbayern
488,naumburgertageblatt
489,schluesselburg
490,wilfried.oellers
491,geisel.thomas
492,pascal.meiser.36
493,sabinedittmarmdb
494,simone.borchardt
495,stefanberger_mdep
496,thomas.huber.landtag
497,kerstin_schreyer_mdl
498,reinhold_hilbers
499,newsde
500,seb.cuny
501,thueringen.de
502,axelknoerig
503,bratmannchristoph
504,klein.karsten
505,ritter_kay
506,uweschmidt.mdb
507,christianhirtemdb
508,fguentzler
509,klimalistebw
510,lenanzume
511,uweschuenemann
512,kaufmannafd
513,aerztezeitung
514,karin.logemann
515,tinosorge
516,markus.hoener
517,lars.rohwer.politik
518,dr.ingo.hahn
519,lahrerzeitung
520,simonzeimke
521,larscastellucci
522,bjoern_luettmann
523,christinaw_spd
524,markus.reichel.cdu
525,seb_roloff
526,ferber.markus
527,osterholzer_kreisblatt
528,kthrn_mchl_spd
529,andreas.larem
530,enricokomningmdb
531,cellerpresse
532,heikohain
533,marionschardtsauer
534,sebastiangemkow
535,svendorf
536,osthessenzeitung
537,christoph.schmid.alerheim
538,moskopp.mdl
539,schwetzingerzeitung
540,peter_felser
541,friedl_hans
542,ulrike.hinrichs
543,einbeckermorgenpost
544,new_facts_eu
545,chamer_zeitung
546,kreiszeitung_wesermarsch
547,annavontreuenfels
548,euschwerbehinderung
549,ileanagrabitz
550,jusosbayern
551,kerstin_radomski
552,marionrosin
553,sandra.redmann.37
554,stueweru
555,wirtschaftnrw
556,mearbeitgeber
557,engagementglobal
558,welthungerhilfe
559,landschafftwerte
560,chemieverband_vci
561,macra.maniacs
562,gematikgmbh
563,tdh_de
564,onlinekas
565,cosmonautskings
566,amnestydeutschland
567,sanae_ccaa
568,valentin_christian_abel
569,katj_ad
570,stephanie_aeffner
571,adis.a93
572,alialdailami.mdb
573,al_halak_m
574,reem.alabaliradovan
575,renataalt_mdb
576,norbert.altenkamp
577,amtsbergluise
578,dagmar.andres
579,nielsannen
580,johannes_arlt
581,aschenbergdugnus
582,andreasaudretsch
583,arturauernhammer
584,maikaussendorf
585,tbbacherle
586,badumlisa
587,heikebaehrens
588,karl.baer
589,fbanaszak
590,nezahatbaradari
591,soeren.bartol
592,bundesbartz
593,baerbelbas
594,nicole_ae_bauer
595,lieblingxhain
596,katharina.beck
597,dr_holger_becker
598,jensbeeck
599,benner_lukas
600,juergen.berghahn
601,andre.berghegger
602,bengtbergt
603,marc_bernhard
604,peterbeyerbundestag
605,steffen.bilger
606,ingobodtke
607,friedhelmboginski
608,jens.brandenburg
609,der_bdi
610,cem.oezdemir
611,ophelianick
612,althusmann
613,sebastian.lechner.mdl
614,dpolgrainerwendt
615,amnestyjugend
616,igmetalljugend
617,lennart.joseph
618,bundesgesundheitsministerium
619,nachhaltig.kritisch
620,lisasophielaurent
621,_wastelandrebel_
622,domitila_barros
623,marienasemann
624,heylilahey
625,milenskaya
626,annelinawaller
627,annarrative_
628,fraumierau
629,fashionchangers
630,angeliquelini
631,larytales
632,franzischaedel
633,muttiversum
634,erdretter
635,gepafairtrade
636,hope_faith_love_86
637,pfleger.ricardo
638,elhotzo
639,raulkrauthausen
640,giannijovanovic78
641,tupoka.o
642,alice_haruko
643,femnet_ev
644,thebestsocialmediade
645,hazelsgonnahaze
646,promiflash
647,jurafakten
648,anne_dittmann
649,shirindavid
650,heidiklum
651,prinzmarcus
652,lenameyerlandrut
653,bjoern_hoecke_afd
654,ju_heidelberg
655,deutsche.weltanschauung
656,kaiser.afd
657,beatrix.von.storch
658,kavalier_nds
659,toni.kr8s
660,fcbayern
661,ivanrakitic
662,lena
663,biancaheinicke
664,sophiebreuer99
665,sarah.victoria.schalow
666,lindazervakis
667,ayajaff
668,rezo
669,julienbam
670,juliabeautx
671,sarah.harrison.official
672,dominic.harrison.official
673,mrsbella
674,dariadaria
675,dm_deutschland
676,abaerbock
677,bundeskanzlerscholz
678,luisaneubauer
679,auswaertigesamt
680,minister.habeck
681,sebastiankurz
682,die_gruenen
683,linksjugend_solid
684,junge_union
685,bvb09
686,bastianschweinsteiger
687,mterstegen1
688,marcinho11
689,mariogotze
690,manuelneuer
691,datteltaeter
692,maithink
693,fairtradeoriginalde
694,mysustainableme
695,malwanne
696,wwf_deutschland
697,rebeccachelbea
698,zdfwiso
699,gebana.official
700,aljosha_
701,fabiangrischkat
702,katapultmagazin
703,utopia.de
704,alwaysxcaro
705,prof.aufgeklaert
706,basicthinkingde
707,salzlandmagazin
708,blogrebellen
709,braunhelge
710,juergen.braun.mdb
711,lenibreymaier
712,bslivemagazin
713,buzzfeednews
714,aichacher_nachrichten
715,swp.de
716,aller_zeitung
717,ralph_brinkhaus
718,carsten.brodesser
719,allgaeueranzeigeblatt
720,agnieszka_mdb
721,fbsirske
722,katrin_budde
723,clara.buenger
724,marcobuschmann
725,karlheinz.busen
726,isacademartori
727,christmannanna
728,gittaconnemann
729,juergencosse
730,joanacotar
731,mario_czaja
732,bernharddaldrup
733,astrid_damerow
734,sevim_dagdelen_
735,ekin_deligoez
736,hakandemirnk
737,sandra_detzer
738,drkarambadiaby
739,martindiedenhofen
740,jandieren
741,bijan_djirsarai_
742,doering.felix
743,adomscheitberg
744,falko.drossmann
745,hansjoerg_durz
746,sonjaeichwede
747,herr_emmerich
748,alexander_engelhard_csu
749,heike.engelhardt
750,englhardtkopf
751,dr_espendiller
752,marcusfaberfdp
753,hermannfaerber
754,ariane_faescher
755,susanneferschl
756,alexander.foehr
757,dfoest
758,thorsten.frei
759,otto_fricke
760,hanspeter.friedrich
761,michael_frieser
762,goetzfroemming
763,max_fksr
764,schahinag
765,tessa_ganserer
766,martingassnerherz
767,gastelmatthias
768,manuelosna
769,stefangelbhaar
770,knut.gerschau
771,janni_gesenhues
772,albrecht.glaser
773,aniko_teamwunderkerze
774,christiangoerke62
775,kay.gottschalk.mdb.111
776,fabian.gramling
777,gremmels
778,markus.gruebel
779,nilsgruender
780,erhard.grundl
