name,channel,handle,url,category,label,rank
"Schröder, Jan",facebook,janschroeder.spd,https://www.facebook.com/janschroeder.spd,Politician,SPD,2566
"Schröder, Jan",instagram,janschroeder_spd,https://www.instagram.com/janschroeder_spd/,Politician,SPD,2483
"Schröder, Jan",tiktok,@janschroeder_spd,https://www.tiktok.com/@janschroeder_spd,Politician,SPD,
"Schröder-Köpf, Doris",x,SchroederKoepf,https://www.x.com/SchroederKoepf,Politician,SPD,
"Schröder-Köpf, Doris",facebook,doris.schroderkopf.54,https://www.facebook.com/doris.schroderkopf.54,Politician,SPD,
"Schröder-Köpf, Doris",instagram,dschroederkoepf,https://www.instagram.com/dschroederkoepf/,Politician,SPD,
"Schroeder, Christian",x,schroedergruen,https://www.x.com/schroedergruen,Politician,Grüne,
"Schroeder, Christian",facebook,christian.schroeder.397,http://facebook.com/christian.schroeder.397,Politician,Grüne,
"Schroeder, Christian",instagram,schroedergruen,http://instagram.com/schroedergruen/,Politician,Grüne,3044
"Schülke, Jessica",tiktok,@jessicaschuelke1,https://www.tiktok.com/@jessicaschuelke1,Politician,AfD,
"Schulz-Hendel, Detlev",x,DetlevSchulzHen,https://www.x.com/DetlevSchulzHen,Politician,Grüne,
"Schulz-Hendel, Detlev",facebook,schulz.hendel,https://www.facebook.com/schulz.hendel,Politician,Grüne,2306
"Schulz-Hendel, Detlev",instagram,detlev.schulzhendel,https://www.instagram.com/detlev.schulzhendel/,Politician,Grüne,2484
"Schünemann, Uwe",x,UweSchuenemann,https://www.x.com/UweSchuenemann,Politician,CDU,
"Schünemann, Uwe",facebook,UweSchunemannMdL,https://www.facebook.com/UweSchunemannMdL,Politician,CDU,
"Schünemann, Uwe",instagram,uweschuenemann,https://www.instagram.com/uweschuenemann/,Politician,CDU,511
"Schüßler, Claudia",x,ClaudiaSchler2,https://www.x.com/ClaudiaSchler2,Politician,SPD,
"Schüßler, Claudia",facebook,ClaudiaSchuesslerSPD,https://www.facebook.com/ClaudiaSchuesslerSPD/,Politician,SPD,1186
