Rank,Account Handle,URL
116,Bettina Hagedorn,https://www.facebook.com/120733721866398
117,Ruben Rupp,
118,SPD Hessen,https://www.facebook.com/111080175616050
119,Jüdische Allgemeine,https://www.facebook.com/362784088409
120,RTL Exclusiv,https://www.facebook.com/212099256910
121,Ostsee-Zeitung,https://www.facebook.com/374927701107
122,Bayernpartei,https://www.facebook.com/78309442751
123,Brandenburg aktuell,https://www.facebook.com/150952781609610
124,Sky Sport News,https://www.facebook.com/217516394953234
125,RADIO 21,https://www.facebook.com/131829193546831
126,rbb,https://www.facebook.com/138089939576812
127,AfD-Fraktion Sachsen-Anhalt,https://www.facebook.com/1078884028800904
128,Hessen.de,https://www.facebook.com/255656497874845
129,Denis Pauli,https://www.facebook.com/590763667442836
130,AfD-Fraktion im Hessischen Landtag,https://www.facebook.com/572530603230497
131,CDU/CSU-Bundestagsfraktion,https://www.facebook.com/190784743602
132,SPORT1,https://www.facebook.com/368699399171
133,Andreas Stoch,https://www.facebook.com/121115018256872
134,Wolfgang Wiehle,https://www.facebook.com/1586388241380355
135,Franziska Giffey,https://www.facebook.com/591089474361265
136,HISTORY,https://www.facebook.com/368448446426
137,Ministerium des Innern und für Kommunales des Landes Brandenburg,https://www.facebook.com/329282977598545
138,Gesicht Zeigen! Für ein weltoffenes Deutschland,https://www.facebook.com/272334799493
139,CSU-Fraktion im Bayerischen Landtag,https://www.facebook.com/146453833478
140,Martin Huber,https://www.facebook.com/141919912684120
141,NDR.de,https://www.facebook.com/182848831765655
142,DOMRADIO.DE,https://www.facebook.com/247944913310
143,Terra X,https://www.facebook.com/312193427930
144,FDP-Fraktion Bremen,https://www.facebook.com/160531500656482
145,Joachim Herrmann,https://www.facebook.com/741724592531706
146,AfD-Fraktion im Landtag von Baden-Württemberg,https://www.facebook.com/137771196652740
147,Bericht aus Berlin,https://www.facebook.com/296432197042477
148,Julia Klöckner,https://www.facebook.com/298621020195483
149,Manfred Schiller,https://www.facebook.com/146392531887430
150,AfD Hamburg,https://www.facebook.com/585678844775646
151,CDU Rheinland-Pfalz,https://www.facebook.com/178032906642
152,Nicole Gohlke,https://www.facebook.com/560137777526640
153,Engin Eroglu,https://www.facebook.com/477942969211245
154,RTLup,https://www.facebook.com/484732465060892
155,Stephan Protschka,https://www.facebook.com/530757183776023
156,Nikolaus Kramer MdL,https://www.facebook.com/706006922832857
157,Joana Cotar,https://www.facebook.com/242641809484926
158,Roman Simon MdA,https://www.facebook.com/2000333733546421
159,hessenschau,https://www.facebook.com/594399277278367
160,Kontext:Wochenzeitung,https://www.facebook.com/135205363218558
161,BR24,https://www.facebook.com/208046455335
162,Frankfurter Rundschau,https://www.facebook.com/134100583282150
163,Gitta Connemann,https://www.facebook.com/175211392516482
164,Junge Union Schleswig-Holstein,https://www.facebook.com/272058048725
165,DMAX,https://www.facebook.com/57592017713
166,Tichys Einblick,https://www.facebook.com/716555961791942
167,AfD-Fraktion im Landtag Rheinland-Pfalz,https://www.facebook.com/1073271182734567
168,Antenne Düsseldorf,https://www.facebook.com/162679716134
169,Transfermarkt.de,https://www.facebook.com/237837278879
