fastned
FernwasserEO
FernwasserversorgungOberfranken
186833031339728
PfalzwerkeAktiengesellschaft
100077041011448
derfischereihafen
dus
frankfurtAirport
SWFreiberg
Freihoffgroup
StadtwerkeFreising
Friesenenergie
GasundWasserwerkeBousSchwalbach
gasagde
GASCADE
100057652651823
StadtwerkeEisenhuettenstadt
stadtwerkegarbsen
StadtwerkeGoerlitz
MainKinzigGas
stadtwerketorgelow
gasuf
GELSENWASSER
162962003714860
205101659979809
doerentrup
164982473586724
LiederbachAmTaunus
gemeindenhf
nkse.de
GemeindeNonnweiler
perl-mosel.saarland
Riegelsberg
gemeinde.schmelz
GemeindeWaldfeucht
GemeindeWeiskirchen
ainring.de
gemeindebadzwischenahn
100063508436132
stwfrankenthal
gemeindewerke.brueggen
603146243216726
312641759616180
glattbach
gemeindewerke.grefrath
GWG.Gundelfingen
61557336818144
GemeindewerkeHeikendorf
61588439152598
hohentengen
Ismaning.de
100093536627261
gemeindekerken
GemeindewerkeMalente
gemeindewerke.murnau
Gwn24
gemeindewerkepeinerland
gemeindewerke.peissenberg
GemeindewerkeSchutterwald
GSWerke
120472881831115
GemeindewerkeWaging
GemeindewerkeWendelstein
uniperenergy
gevernova
100090077570622
61552790743520
GEW.Wilhelmshaven
Gewobag
GISA.de
100093432369284
goldgas
GorillaData
stadtwerkegotha
gothaerstadtwerkeenergie
GPJOULE
greenventory.de
GSWgmbh
gvgrheinerft
Stadtwerke.Haar
Gasversorgung.Pforzheim
GVWGmbH
370855512990023
164629466926170
hws.hallesche.wasser.und.stadtwirtschaft
HamburgWasser
HamburgerEnergienetze
hamburgerenergiewerke
hansentechnologies
HanseWerk
HarzEnergie
133221817459601
744911248949885
Hessenwasser
HochsauerlandWasser
100067835857348
stromee.de
HorneGruppe
hubject
