IBCSOLAR.DE
illwerke.vkw
inexogy
infra.fuerth
inkb.kommunalbetriebe
INOLGmbH
ionity.eu
61553030205726
ITCAG
167863883224508
ITVTGroup
juwiGruppe
kvv.kassel
kbghomberg
PreussenElektra
vattenfall
kewneunkirchen
281475742399261
KISTERS.AG
1830858227237284
227134047769316
Knauber.de
KommEnergie
LeipzigerGruppe
100054257301557
61552267026671
stadtwerkepfaffenhofen
61558648645455
167280436628125
100063577087053
swnneuwied
187443418439197
LandkreisCham
1583686545226358
KreiswerkeGrevenbroich
Kreiswerke
397038060423365
koethenergie
LandisGyr
landwindgruppe
177189469398264
energieladen.lekker
100057194720634
LIKRASONNEBERG
LKWKitzingen
lichtblick.de
limetechnologiesab
lswholding
Lumenaza
61554696634352
loermecke
stadt.eppstein
grossumstadt
Stadt.Ober.Ramstadt
mainova
61576028351369
mainzerstadtwerke
markeeffizienz
marktkueps
maschinenring
Materna.SE
matthaeibauunternehmen
mdcc.magdeburg
MEGAMonheim
stadtwerkemeissen
meremobility
MindenerStadtwerke
289460128158119
stadtwerkegiessenag
mvv.energie
nergieNuernberg
naturenergie.oekostrom
naturenergienetze
100064743802152
163245724285617
NetzeBW
StadtwerkeDuisburg
swm.magdeburg
100075972847668
netzesuedwest
StadtwerkeAhlenGruppe
StadtwerkeBitterfeldWolfen
swdag
StadtwerkeEisenbergEnergie
stadtwerke.guetersloh
SWLuebbecke
swmerzig
StadtwerkeSaarlouis
neu.sw
new.niederrhein
NextKraftwerkeDirektvermarktung
SWK.Krefeld
niedersachsenports
stadtwerkenienburg
Niersenergie
niersverband
node.energy
200568406728282
NordwasserGmbH
oberhessengas
